Image_path,ground_truth_label,Predicted
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=SWHhMZu8eqJl2xlV)original_20131471.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=-zBwa_-esy-0pj3u)original_27155211.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=4QY4hhd-QPInClDe)original_79373421.jpg,0,0
nsfw_dataset_test/animated/ouwo5EE.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=SxjLKyR0P9sM1Ju4)original_101512142.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=hnYmt0Y0Y3s6uw9p)original_118849091.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=S2ezsgJo5tIp-v2q)original_39705482.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=nt3LDLsCrwncyqD2)original_58564892.jpg,0,0
nsfw_dataset_test/animated/9i2FC64.jpg,0,0
nsfw_dataset_test/animated/Y4jO3Qv.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=8LfuHgHHgQskoI2r)original_46451721.jpg,0,0
nsfw_dataset_test/animated/eKgKNnD.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=ShhiqJ89grArua8h)original_28415411.jpg,0,2
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=oh1yn6KRogV1H4Rd)original_25522332.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=vb91WGsc2z_T98iQ)original_64194481.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=OYGAYrD2cFrsvPer)original_38990452.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=BvnbhEh6zu4JHHru)original_1295353.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=j-l49gGMcYvqDSAO)original_19580721.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=6eRM2PPgq2geP73f)original_35817062.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=sl0U8siNRb4msFWt)original_162892231.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=k-DEgV9Jost7LXdd)original_30100392.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=0Q6P54eYmvIT7d5g)original_3920073.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=G2dxXokgxfCU_Rzb)original_59871541.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=mzdz4NRggL-MCyLa)original_1565356.jpg,0,0
nsfw_dataset_test/animated/xv5Rsys.jpg,0,0
nsfw_dataset_test/animated/ZipIpaL.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=UCGJWGN8hXJdsxc0)original_97470372.jpg,0,4
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=TG6aJMLFtHCSKje7)original_2564596.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=LbaUK5HfUAg5gZKe)original_89097962.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=gOfSqod8aXHBFZNt)original_45186231.jpg,0,0
nsfw_dataset_test/animated/vhq1.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=MrR0WttqtnS3GzJX)original_49227781.jpg,0,4
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=6dE3ScCF9TdQEWTZ)original_110619181.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=rGD5TyC4xqAmw4dL)original_35449862.jpg,0,0
nsfw_dataset_test/animated/Bnhgciz.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=IT7NBKblZ2g2aZ29)original_20618101.jpg,0,0
nsfw_dataset_test/animated/(m=bJ4hdaaecaa)(mh=NrYmvDdVttHFIiOi)original_60877571.jpg,0,0
nsfw_dataset_test/animated/1EwxW95.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=3GPn5u68C-BMdOzM)original_41820901.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=-dw2FwRT1wY8_5S1)original_46934021.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=XkYMfbvccXWmQYaf)original_109732491.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=hQwkdi79os1cedeQ)original_150034671.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=O7-yZmlIZ4UMaFvH)original_147752311.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=qyvKYsRo_RW6WQRV)original_24690412.jpg,0,0
nsfw_dataset_test/animated/67vsdx4.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=h5gRsru7CFSd0bV1)original_17202791.jpg,0,0
nsfw_dataset_test/animated/120q5.jpg,0,0
nsfw_dataset_test/animated/(m=bJ4hdaaecaa)(mh=ZGxMe3r5jDpCnASz)original_154472871.jpg,0,0
nsfw_dataset_test/animated/xOxIH1L.jpg,0,0
nsfw_dataset_test/animated/TjchPqK.jpg,0,0
nsfw_dataset_test/animated/4AESLrx.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=4nu_feZabZz9xprj)original_26705511.jpg,0,4
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=U4UY06kAB__imN_i)original_969999.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=Q5G1DYsXYtM7hxPp)original_3933803.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=2ZNkO7LKFPYB_XNZ)original_34464982.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=btgV8WFXh-NR_aLa)original_38731652.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=pFfFxGYLCIqUfp5k)original_87617481.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=DUoZlqvgsOojZk4-)original_23212762.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=RDiIhwwLkT0zPvbq)original_150367141.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=7VFtt4Uqt1-PwZ_P)original_149027231.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=G4D1_myG6YGS3JIC)original_19291751.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=bahT8MWprC_jTC6i)original_25728032.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=t3xGN6Z8Liih5Q66)original_165497831.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=FlIdFmxZVmxzzpBL)original_68731961.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=eaHqavpkl69c0UZD)original_48034281.jpg,0,0
nsfw_dataset_test/animated/bZNFb75.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=1uoyNZ-T529P81Mq)original_47954841.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=zDGW6FRv8-dy66EE)original_2203092.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=Ptibj0ibWiljg4sJ)original_146506361.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=A2nXC0vrKZGujctm)original_19286491.jpg,0,0
nsfw_dataset_test/animated/(m=bJ4hdaaecaa)(mh=NdEVL67h1rYbCdND)original_111471641.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=C0D_aMo0MyItwpRp)original_3641328.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=VHXhpL3bL_wDMaze)original_35817662.jpg,0,0
nsfw_dataset_test/animated/(m=bJ4hdaaecaa)(mh=0Ab_oopdP63Sy1KF)original_86785781.jpg,0,0
nsfw_dataset_test/animated/(m=e-yaaGqaa)(mh=F9c1mFstCUMg0ooD)original_48837311.jpg,0,0
